ACF Ethanol Futures
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,10,0,11,0,----,2.342,2.311,2.328,2.328,0,2.330,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,11,0,11,0,----,2.342,2.311,2.328,2.328,0,2.330,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,1,0,12,0,----,2.301,2.280,2.295,2.295,0,2.301,0,0
DA MILK FUTURES
12/31/10 06:00 PM,DA MILK FUTURES,F,1,0,11,0,13.27,13.31,13.16,----,13.22,211,13.27,182,4775
12/31/10 06:00 PM,DA MILK FUTURES,F,2,0,11,0,13.85,13.89,13.58,----,13.72,424,13.84,658,4953
12/31/10 06:00 PM,DA MILK FUTURES,F,3,0,11,0,14.20,14.25,13.98,----,14.06,218,14.15,197,3542
12/31/10 06:00 PM,DA MILK FUTURES,F,4,0,11,0,14.61,14.62,14.41,----,14.55,53,14.60,162,2687
12/31/10 06:00 PM,DA MILK FUTURES,F,5,0,11,0,14.80,14.80,14.60,----,14.73,27,14.78,70,2441
12/31/10 06:00 PM,DA MILK FUTURES,F,6,0,11,0,15.02,15.05,14.87,----,14.98,99,14.99,71,1979
